,layer,sample_id,psbulk_n_cells,psbulk_counts,condition,layer_c
chimp_11454_L1,L1,chimp_11454,202.0,360976.0,chimp,1
chimp_13309_L1,L1,chimp_13309,201.0,313326.0,chimp,1
chimp_j8_L1,L1,chimp_j8,398.0,862771.0,chimp,1
human_759_L1,L1,human_759,500.0,961453.0,human,1
human_j12_L1,L1,human_j12,331.0,827957.0,human,1
human_j3_L1,L1,human_j3,110.0,378096.0,human,1
human_j4_L1,L1,human_j4,238.0,770218.0,human,1
human_j6_L1,L1,human_j6,134.0,255642.0,human,1
macaque_0701_L1,L1,macaque_0701,286.0,1152346.0,macaque,1
macaque_0703_L1,L1,macaque_0703,196.0,472065.0,macaque,1
macaque_0704_L1,L1,macaque_0704,285.0,528036.0,macaque,1
macaque_nb0904_L1,L1,macaque_nb0904,635.0,716506.0,macaque,1
chimp_11454_L2,L2,chimp_11454,167.0,504292.0,chimp,2
chimp_13309_L2,L2,chimp_13309,136.0,412983.0,chimp,2
chimp_j8_L2,L2,chimp_j8,201.0,1219488.0,chimp,2
human_759_L2,L2,human_759,406.0,1458288.0,human,2
human_j12_L2,L2,human_j12,175.0,1545427.0,human,2
human_j3_L2,L2,human_j3,98.0,1410958.0,human,2
human_j4_L2,L2,human_j4,234.0,1849823.0,human,2
human_j6_L2,L2,human_j6,109.0,546855.0,human,2
macaque_0701_L2,L2,macaque_0701,230.0,2282690.0,macaque,2
macaque_0703_L2,L2,macaque_0703,398.0,2592926.0,macaque,2
macaque_0704_L2,L2,macaque_0704,254.0,1242982.0,macaque,2
macaque_nb0904_L2,L2,macaque_nb0904,282.0,595320.0,macaque,2
chimp_11454_L3,L3,chimp_11454,814.0,2602051.0,chimp,3
chimp_13309_L3,L3,chimp_13309,1124.0,6422786.0,chimp,3
chimp_j11_L3,L3,chimp_j11,183.0,821411.0,chimp,3
chimp_j8_L3,L3,chimp_j8,746.0,5205665.0,chimp,3
human_759_L3,L3,human_759,1030.0,4088252.0,human,3
human_j12_L3,L3,human_j12,812.0,6972907.0,human,3
human_j3_L3,L3,human_j3,159.0,2568130.0,human,3
human_j4_L3,L3,human_j4,699.0,7738393.0,human,3
human_j6_L3,L3,human_j6,338.0,2187100.0,human,3
macaque_0701_L3,L3,macaque_0701,795.0,7743927.0,macaque,3
macaque_0703_L3,L3,macaque_0703,1289.0,9473501.0,macaque,3
macaque_0704_L3,L3,macaque_0704,1366.0,8325903.0,macaque,3
macaque_nb0904_L3,L3,macaque_nb0904,1057.0,2099817.0,macaque,3
chimp_11454_L4,L4,chimp_11454,302.0,1016542.0,chimp,4
chimp_13309_L4,L4,chimp_13309,256.0,1528352.0,chimp,4
chimp_j11_L4,L4,chimp_j11,190.0,924038.0,chimp,4
chimp_j8_L4,L4,chimp_j8,389.0,2835615.0,chimp,4
human_759_L4,L4,human_759,442.0,1745980.0,human,4
human_j12_L4,L4,human_j12,308.0,2731891.0,human,4
human_j3_L4,L4,human_j3,235.0,3731709.0,human,4
human_j4_L4,L4,human_j4,509.0,5473387.0,human,4
human_j6_L4,L4,human_j6,326.0,2161102.0,human,4
macaque_0701_L4,L4,macaque_0701,526.0,4506846.0,macaque,4
macaque_0703_L4,L4,macaque_0703,366.0,2846831.0,macaque,4
macaque_0704_L4,L4,macaque_0704,577.0,3463780.0,macaque,4
macaque_nb0904_L4,L4,macaque_nb0904,285.0,562879.0,macaque,4
chimp_11454_L5,L5,chimp_11454,811.0,2433119.0,chimp,5
chimp_13309_L5,L5,chimp_13309,257.0,1238647.0,chimp,5
chimp_j11_L5,L5,chimp_j11,579.0,2203937.0,chimp,5
chimp_j8_L5,L5,chimp_j8,622.0,3296794.0,chimp,5
human_759_L5,L5,human_759,373.0,1310448.0,human,5
human_j12_L5,L5,human_j12,294.0,2320865.0,human,5
human_j3_L5,L5,human_j3,223.0,3441256.0,human,5
human_j4_L5,L5,human_j4,442.0,3269655.0,human,5
human_j6_L5,L5,human_j6,570.0,4743953.0,human,5
macaque_0701_L5,L5,macaque_0701,489.0,2902158.0,macaque,5
macaque_0703_L5,L5,macaque_0703,621.0,4365288.0,macaque,5
macaque_0704_L5,L5,macaque_0704,459.0,2651940.0,macaque,5
macaque_nb0904_L5,L5,macaque_nb0904,875.0,1651693.0,macaque,5
chimp_11454_L6,L6,chimp_11454,1150.0,2171426.0,chimp,6
chimp_13309_L6,L6,chimp_13309,594.0,2271586.0,chimp,6
chimp_j11_L6,L6,chimp_j11,1249.0,1922829.0,chimp,6
chimp_j8_L6,L6,chimp_j8,410.0,1384898.0,chimp,6
human_759_L6,L6,human_759,545.0,1617395.0,human,6
human_j12_L6,L6,human_j12,202.0,1148649.0,human,6
human_j3_L6,L6,human_j3,278.0,1922236.0,human,6
human_j4_L6,L6,human_j4,351.0,1240975.0,human,6
human_j6_L6,L6,human_j6,393.0,2132785.0,human,6
macaque_0701_L6,L6,macaque_0701,301.0,906952.0,macaque,6
macaque_0703_L6,L6,macaque_0703,524.0,2049805.0,macaque,6
macaque_0704_L6,L6,macaque_0704,307.0,1132062.0,macaque,6
macaque_nb0904_L6,L6,macaque_nb0904,698.0,1042597.0,macaque,6
chimp_11454_WM,WM,chimp_11454,109.0,209589.0,chimp,7
chimp_13309_WM,WM,chimp_13309,1336.0,1684060.0,chimp,7
chimp_j11_WM,WM,chimp_j11,2309.0,2131560.0,chimp,7
chimp_j8_WM,WM,chimp_j8,714.0,913593.0,chimp,7
human_759_WM,WM,human_759,258.0,537607.0,human,7
human_j12_WM,WM,human_j12,1465.0,1746333.0,human,7
human_j3_WM,WM,human_j3,1389.0,1784843.0,human,7
human_j4_WM,WM,human_j4,705.0,913506.0,human,7
human_j6_WM,WM,human_j6,736.0,901492.0,human,7
macaque_0701_WM,WM,macaque_0701,54.0,132604.0,macaque,7
macaque_0703_WM,WM,macaque_0703,210.0,485327.0,macaque,7
macaque_0704_WM,WM,macaque_0704,77.0,147865.0,macaque,7
macaque_nb0904_WM,WM,macaque_nb0904,88.0,82690.0,macaque,7
